類別,ISO,光圈,快門,焦距,相機型號,上傳時間,累計人氣
1,50,2.4,0.042,3,1,13.88202186,3876
1,80,2.4,0.042,3,1,13.88202189,1650
1,75,2.8,0.042,3,1,12.55760815,1184
1,640,2.4,0.067,4,1,13.52986414,1178
1,71,2.8,0.042,3,1,12.55760838,957
1,73,2.8,0.059,3,1,12.55760834,913
1,72,2.8,0.059,3,1,12.55760825,825
1,74,2.8,0.05,3,1,12.5576083,805
1,72,2.8,0.033,3,1,12.55760819,778
1,1000,3.5,0.02,18,2,13.02962592,708
1,79,2.8,0.05,3,1,12.65794278,594
1,86,2.8,0.067,3,1,12.65794276,568
1,220,2.8,0.067,3,1,12.65794273,405
1,80,2.8,0.033,3,1,12.65794275,388
1,1016,2.8,0.1,3,1,12.79276768,385
1,640,2.8,0,28,2,12.55523557,358
1,246,2.8,0.067,3,1,12.65794272,339
1,1016,2.8,0.1,3,1,12.80383214,339
1,1016,2.8,0.1,3,1,12.79277049,324
1,211,2.8,0.067,3,1,12.65794271,290
1,433,2.8,0.067,3,1,12.71354396,286
1,400,2.4,0.067,4,1,13.5298641,283
1,464,2.8,0.067,3,1,12.7135437,271
1,583,2.8,0.077,3,1,12.83061496,256
1,200,2.8,0.017,24,2,12.21194243,240
1,168,2.8,0.067,3,1,12.6579427,236
1,320,3.5,0.05,6,0,12.1914579,231
1,604,2.8,0.067,3,1,12.71354342,217
1,225,2.8,0.067,3,1,12.65794268,215
1,500,2.4,0.067,4,1,13.79432914,214
1,233,2.8,0.067,3,1,12.65794267,206
1,78,2.8,0.059,3,1,12.8379315,185
1,440,2.8,0.067,3,1,12.71354253,176
1,105,2.8,0.067,3,1,12.83792932,149
1,400,3.3,0.067,4,0,13.30783123,143
1,72,2.8,0.059,3,1,12.83792813,139
1,70,2.8,0,3,1,12.67112508,124
1,70,2.8,0.001,3,1,12.76061744,119
1,250,2.638671875,0.119,3,1,13.03551779,118
1,70,2.8,0.001,3,1,12.67112511,114
1,583,2.8,0.091,3,1,12.83793027,112
1,64,2.4,0,4,1,13.38952722,110
1,640,2.4,0.067,4,1,13.79432801,107
1,70,2.8,0.001,3,1,12.67112514,101
1,70,2.8,0.001,3,1,12.67112505,100
1,1000,2.8,0.067,3,1,13.31723513,98
1,64,2.4,0.006,4,1,13.39519621,96
1,400,2.4,0.05,4,1,13.52986405,95
1,800,2.8,0.059,3,1,13.28837749,96
1,400,2.4,0.05,4,1,13.52986401,91
1,200,2.4,0.05,4,1,13.31804729,91
1,320,2.4,0.05,4,1,13.31804731,90
1,64,2.4,0.008,4,1,13.39519594,90
1,400,2.4,0.05,4,1,13.52986397,89
1,874,2.8,0.1,3,1,12.8379337,89
1,659,2.8,0.1,3,1,12.67113212,89
1,125,2.8,0.067,3,1,13.2883782,90
1,800,2.4,0.033,3,1,13.39501619,87
1,400,9,0.017,24,0,12.99259662,86
1,500,2.4,0.067,4,1,13.79432964,86
1,400,5.6,0.167,4,0,13.30783116,86
1,800,2.4,0.067,4,1,13.31804728,78
1,1600,2,0.05,3,1,13.86431158,77
1,500,2.4,0.062,4,1,13.39519665,75
1,250,2.4,0.062,4,1,13.3951964,75
1,250,2.4,0.033,3,1,13.25754206,75
1,800,3.3,0.071,5,0,12.84032235,71
1,64,2.8,0.017,3,1,12.91571318,69
1,640,2.4,0.067,4,1,13.7943298,69
1,500,2.4,0.067,4,1,13.79432938,68
1,400,2.4,0.067,4,1,13.79433411,67
1,500,2.4,0.033,3,1,13.39501622,67
1,640,2.4,0.067,4,1,13.79432847,66
1,64,2.4,0.005,4,1,13.39519617,63
1,400,2.4,0.062,4,1,13.39519661,63
1,3200,2.4,0.067,3,1,13.20674315,61
1,160,2.4,0.05,4,1,13.77103894,61
1,80,2.8,0.025,3,1,12.65118707,60
1,100,2.8,0.006,5,0,12.23910872,59
1,640,2.4,0.067,4,1,13.79433008,56
1,80,2.8,0.01,6,2,13.22041224,56
1,800,2.4,0.067,4,1,13.79433198,56
1,70,2.8,0.001,3,1,12.67112516,56
1,200,2.4,0.062,4,1,13.39519646,55
1,800,2.4,0.067,4,1,13.40610114,51
1,200,2.4,0.062,4,1,13.39519643,51
1,1600,2.4,0.067,3,1,13.0633275,50
1,80,2.4,0.025,4,1,13.3895237,50
1,400,4,0.017,17,2,12.3540977,49
1,1600,2.4,0.059,3,1,13.06692281,49
1,100,4,0.004,17,2,12.35409794,49
1,800,2.4,0.067,4,1,13.38952344,48
1,178,2.8,0.067,3,1,12.67112474,47
1,70,2.8,0.001,3,1,12.67112477,46
1,200,2.8,0.067,3,1,13.1356032,46
1,95,2.8,0.008,3,1,12.67112503,46
1,70,2.8,0,3,1,12.67112495,46
1,320,2.4,0.033,3,1,13.05516481,45
1,100,2.4,0.05,4,1,13.38952184,44
1,640,2.4,0.067,4,1,13.79432806,44
1,70,2.8,0,3,1,12.67112488,44
1,615,2.8,0.067,3,1,12.67112492,43
1,80,2.4,0.008,4,1,13.38952277,43
1,80,2.4,0.025,4,1,13.38952319,43
1,640,2.4,0.067,4,1,13.79432811,43
1,800,2.4,0.033,3,1,13.39501641,42
1,64,2.4,0.042,4,1,13.31047848,42
1,800,2.4,0.067,4,1,13.79432852,42
1,572,2.8,0.077,3,1,12.67112482,42
1,1000,2.8,0.067,3,1,13.0431369,41
1,200,2.4,0.05,4,1,13.69719601,41
1,64,2.4,0.042,4,1,13.31047899,41
1,320,2.8,0.067,3,1,13.04218703,40
1,500,2.4,0.067,4,1,13.40607416,40
1,400,4,0.017,26,2,12.35409735,40
1,64,2.4,0.042,4,1,13.31047949,40
1,70,2.8,0.006,3,1,12.67112466,39
1,400,2.4,0.05,4,1,13.69719602,39
1,100,4,0.005,44,2,12.35409878,39
1,250,2.4,0.001,1,1,13.39519628,38
1,1400,3,0.01,10,2,13.13072149,38
1,800,2.4,0.067,4,1,13.39519635,37
1,64,2.4,0.042,4,1,13.310478,37
1,64,2.4,0.033,4,1,13.31047704,35
1,70,2.8,0.002,3,1,12.67112498,35
1,400,4,0.017,17,2,12.35409752,35
1,70,2.8,0.005,3,1,12.73514817,35
1,80,2.4,0.033,4,1,13.3104775,35
1,100,2.4,0.05,4,1,13.38952216,34
1,1600,2.4,0.042,3,1,13.56104449,33
1,70,2.8,0,3,1,12.67112485,32
1,640,2,0.033,3,1,13.86431157,32
1,400,2.8,0.067,3,1,12.86537788,32
1,100,2.4,0.05,4,1,13.38952261,32
1,320,2.4,0,1,1,13.3895272,32
1,200,2,0.033,3,1,13.86431157,31
1,640,2.4,0.067,4,1,13.40609924,31
1,800,2.4,0.067,4,1,13.40610047,31
1,800,2.4,0.067,4,1,13.40608883,30
1,250,2.4,0.05,4,1,13.39519671,30
1,64,2.4,0,4,1,13.38952647,30
1,100,4,0.033,17,2,12.3540983,30
1,64,2.4,0,4,1,13.39519609,29
1,400,2.8,0.003,5,2,13.01850941,29
1,400,3.3,0.167,4,0,13.30783124,29
1,320,2.4,0.05,4,1,13.39519657,29
1,97,2.8,0.067,3,1,12.65119048,28
1,200,3.5,0.017,16,2,13.13072154,28
1,200,2.4,0.05,4,1,13.42701479,28
1,400,2.4,0.059,4,1,13.40606984,28
1,1000,2.4,0.067,3,1,13.25754198,28
1,640,2.4,0.042,3,1,13.25754176,28
1,100,2.8,0.017,53,2,12.35409892,28
1,800,2.4,0.067,4,1,13.39523375,28
1,100,2.8,0.008,50,2,12.35409908,27
1,100,2.4,0.008,4,1,13.40609792,27
1,200,2.8,0.067,3,1,13.10314449,27
1,800,2.4,0.067,4,1,13.79432897,27
1,64,2.4,0,4,1,13.395196,27
1,64,2.4,0.05,4,1,13.42368503,27
1,200,2.8,0.067,3,1,13.55277845,26
1,380,2.8,0.067,3,1,12.6771272,26
1,276,2.8,0.05,3,0,12.61460929,26
1,160,2.4,0.033,3,1,13.17380729,26
1,257,2.8,0.05,3,0,12.61460933,26
1,80,2.4,0.05,4,1,13.42368352,26
1,400,2.8,0.067,3,1,12.98992769,26
1,400,2.4,0.05,4,1,13.40607259,26
1,320,4,0.7,27,2,13.39943034,25
1,125,2.4,0.008,3,1,12.90887326,25
1,64,2.4,0.001,4,1,13.38995727,25
1,640,2.4,0.067,2,1,13.65783679,25
1,500,2.8,0.092,3,1,12.99504974,25
1,64,2.4,0.05,4,1,13.42368256,25
1,400,2.8,0.025,28,2,12.35409942,25
1,250,2.8,0.067,3,1,13.07326192,24
1,125,2.4,0.008,3,1,12.90887303,24
