區域,鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月,交易年,交易月,交易日,交易西曆,交易屋齡(years),交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建築完成年,建築完成月,建築完成日,建築完成西曆,today,屋齡,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,每平方公尺單價,車位類別,車位,車位移轉總面積平方公尺,車位總價元
台北市,中山區,房地(土地+建物),臺北市中山區中山北路二段101~150號,39.82,商,9805,2009,5,1,2009/5/1,-3.62,土地1建物1車位0,八層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,406.72,4,2,5,有,有,119430000,293642,,無,0,0
台北市,大安區,房地(土地+建物)+車位,臺北市大安區仁愛路四段408巷1~50號,24.12,住,9810,2009,10,1,2009/10/1,-3.07,土地1建物1車位2,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011113,2012,11,13,2012/11/13,2015/9/18,2.81,230.76,3,2,2,有,無,44140000,266020,坡道平面,有,84.38,5200000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段101~150號,39.82,商,9810,2009,10,1,2009/10/1,-3.21,土地1建物1車位2,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,494.94,2,2,4,有,有,123030000,290568,坡道平面,有,88.22,4850000
台北市,文山區,房地(土地+建物)+車位,臺北市文山區保儀路1~50號,11.74,商,9811,2009,11,1,2009/11/1,-3.15,土地1建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020110,2013,1,10,2013/1/10,2015/9/18,2.65,161.31,3,1,2,有,有,18650000,132794,坡道機械,有,38.94,2400000
台北市,文山區,房地(土地+建物)+車位,臺北市文山區保儀路1~50號,8.09,商,9811,2009,11,1,2009/11/1,-3.15,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020110,2013,1,10,2013/1/10,2015/9/18,2.65,105.73,2,1,2,有,有,13050000,139694,坡道機械,有,19.47,1000000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段101~150號,39.98,商,9812,2009,12,1,2009/12/1,-3.04,土地1建物1車位3,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,540.47,5,2,5,有,有,127430000,293061,坡道平面,有,132.33,7820000
台北市,中山區,房地(土地+建物),臺北市中山區中山北路二段101~150號,39.82,商,9812,2009,12,1,2009/12/1,-3.04,土地1建物1車位0,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,406.72,5,2,5,有,有,119180000,293027,,無,0,0
台北市,中山區,房地(土地+建物),臺北市中山區中山北路二段101~150號,39.98,商,9812,2009,12,1,2009/12/1,-3.04,土地1建物1車位0,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,408.14,5,2,5,有,有,138780000,340030,,無,0,0
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段101~150號,39.98,商,9905,2010,5,1,2010/5/1,-2.63,土地1建物1車位5,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,628.69,5,2,5,有,有,135000000,298182,坡道平面,有,220.55,13300000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段101~150號,39.82,商,9906,2010,6,1,2010/6/1,-2.55,土地1建物1車位2,三層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,496.25,5,2,5,有,有,117230000,273730,坡道平面,有,88.22,5540000
台北市,南港區,房地(土地+建物)+車位,臺北市南港區經貿二路201~250號,16.37,住,9906,2010,6,1,2010/6/1,-2.69,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020222,2013,2,22,2013/2/22,2015/9/18,2.54,115.79,2,2,1,有,有,19300000,190710,坡道平面,有,21.93,1400000
台北市,士林區,房地(土地+建物)+車位,臺北市士林區文林路451~500號,11.27,商,9908,2010,8,1,2010/8/1,-2.54,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020227,2013,2,27,2013/2/27,2015/9/18,2.52,81.06,2,2,1,有,無,14940000,165479,升降機械,有,1.06,1700000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段101~150號,39.98,商,9910,2010,10,1,2010/10/1,-2.22,土地1建物1車位3,四層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,540.47,5,2,5,有,有,120510000,277846,坡道平面,有,132.33,7110000
台北市,士林區,房地(土地+建物)+車位,臺北市士林區文林路451~500號,11.69,商,9910,2010,10,1,2010/10/1,-2.37,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020227,2013,2,27,2013/2/27,2015/9/18,2.52,84.02,2,2,1,有,無,17220000,189489,升降機械,有,1.06,1500000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段101~150號,39.82,商,9912,2010,12,1,2010/12/1,-2.06,土地1建物1車位2,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,494.94,0,0,5,有,有,146990000,353167,坡道平面,有,88.22,3350000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段93巷1~50號,31.77,商,9912,2010,12,1,2010/12/1,-2.08,土地1建物1車位2,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020111,2013,1,11,2013/1/11,2015/9/18,2.65,340.11,3,2,2,有,有,54200000,205215,坡道平面,有,98.9,4700000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段93巷1~50號,36.57,商,9912,2010,12,1,2010/12/1,-2.08,土地1建物1車位2,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020111,2013,1,11,2013/1/11,2015/9/18,2.65,373.94,3,2,2,有,有,69590000,235566,坡道平面,有,98.9,4800000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段93巷1~50號,36.02,商,9912,2010,12,1,2010/12/1,-2.08,土地1建物1車位2,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020111,2013,1,11,2013/1/11,2015/9/18,2.65,369.94,3,2,2,有,有,70670000,243396,坡道平面,有,98.9,4700000
