country,year,child_mortality,life_expectancy,fertility,population,gdp,continent
Abkhazia,1800,NA,NA,NA,NA,NA,NA
Abkhazia,1801,NA,NA,NA,NA,NA,NA
Abkhazia,1802,NA,NA,NA,NA,NA,NA
Abkhazia,1803,NA,NA,NA,NA,NA,NA
Abkhazia,1804,NA,NA,NA,NA,NA,NA
Abkhazia,1805,NA,NA,NA,NA,NA,NA
Abkhazia,1806,NA,NA,NA,NA,NA,NA
Abkhazia,1807,NA,NA,NA,NA,NA,NA
Abkhazia,1808,NA,NA,NA,NA,NA,NA
Abkhazia,1809,NA,NA,NA,NA,NA,NA
Abkhazia,1810,NA,NA,NA,NA,NA,NA
Abkhazia,1811,NA,NA,NA,NA,NA,NA
Abkhazia,1812,NA,NA,NA,NA,NA,NA
Abkhazia,1813,NA,NA,NA,NA,NA,NA
Abkhazia,1814,NA,NA,NA,NA,NA,NA
Abkhazia,1815,NA,NA,NA,NA,NA,NA
Abkhazia,1816,NA,NA,NA,NA,NA,NA
Abkhazia,1817,NA,NA,NA,NA,NA,NA
Abkhazia,1818,NA,NA,NA,NA,NA,NA
Abkhazia,1819,NA,NA,NA,NA,NA,NA
Abkhazia,1820,NA,NA,NA,NA,NA,NA
Abkhazia,1821,NA,NA,NA,NA,NA,NA
Abkhazia,1822,NA,NA,NA,NA,NA,NA
Abkhazia,1823,NA,NA,NA,NA,NA,NA
Abkhazia,1824,NA,NA,NA,NA,NA,NA
Abkhazia,1825,NA,NA,NA,NA,NA,NA
Abkhazia,1826,NA,NA,NA,NA,NA,NA
Abkhazia,1827,NA,NA,NA,NA,NA,NA
Abkhazia,1828,NA,NA,NA,NA,NA,NA
Abkhazia,1829,NA,NA,NA,NA,NA,NA
Abkhazia,1830,NA,NA,NA,NA,NA,NA
Abkhazia,1831,NA,NA,NA,NA,NA,NA
Abkhazia,1832,NA,NA,NA,NA,NA,NA
Abkhazia,1833,NA,NA,NA,NA,NA,NA
Abkhazia,1834,NA,NA,NA,NA,NA,NA
Abkhazia,1835,NA,NA,NA,NA,NA,NA
Abkhazia,1836,NA,NA,NA,NA,NA,NA
Abkhazia,1837,NA,NA,NA,NA,NA,NA
Abkhazia,1838,NA,NA,NA,NA,NA,NA
Abkhazia,1839,NA,NA,NA,NA,NA,NA
Abkhazia,1840,NA,NA,NA,NA,NA,NA
Abkhazia,1841,NA,NA,NA,NA,NA,NA
Abkhazia,1842,NA,NA,NA,NA,NA,NA
Abkhazia,1843,NA,NA,NA,NA,NA,NA
Abkhazia,1844,NA,NA,NA,NA,NA,NA
Abkhazia,1845,NA,NA,NA,NA,NA,NA
Abkhazia,1846,NA,NA,NA,NA,NA,NA
Abkhazia,1847,NA,NA,NA,NA,NA,NA
Abkhazia,1848,NA,NA,NA,NA,NA,NA
Abkhazia,1849,NA,NA,NA,NA,NA,NA
Abkhazia,1850,NA,NA,NA,NA,NA,NA
Abkhazia,1851,NA,NA,NA,NA,NA,NA
Abkhazia,1852,NA,NA,NA,NA,NA,NA
Abkhazia,1853,NA,NA,NA,NA,NA,NA
Abkhazia,1854,NA,NA,NA,NA,NA,NA
Abkhazia,1855,NA,NA,NA,NA,NA,NA
Abkhazia,1856,NA,NA,NA,NA,NA,NA
Abkhazia,1857,NA,NA,NA,NA,NA,NA
Abkhazia,1858,NA,NA,NA,NA,NA,NA
Abkhazia,1859,NA,NA,NA,NA,NA,NA
Abkhazia,1860,NA,NA,NA,NA,NA,NA
Abkhazia,1861,NA,NA,NA,NA,NA,NA
Abkhazia,1862,NA,NA,NA,NA,NA,NA
Abkhazia,1863,NA,NA,NA,NA,NA,NA
Abkhazia,1864,NA,NA,NA,NA,NA,NA
Abkhazia,1865,NA,NA,NA,NA,NA,NA
Abkhazia,1866,NA,NA,NA,NA,NA,NA
Abkhazia,1867,NA,NA,NA,NA,NA,NA
Abkhazia,1868,NA,NA,NA,NA,NA,NA
Abkhazia,1869,NA,NA,NA,NA,NA,NA
Abkhazia,1870,NA,NA,NA,NA,NA,NA
Abkhazia,1871,NA,NA,NA,NA,NA,NA
Abkhazia,1872,NA,NA,NA,NA,NA,NA
Abkhazia,1873,NA,NA,NA,NA,NA,NA
Abkhazia,1874,NA,NA,NA,NA,NA,NA
Abkhazia,1875,NA,NA,NA,NA,NA,NA
Abkhazia,1876,NA,NA,NA,NA,NA,NA
Abkhazia,1877,NA,NA,NA,NA,NA,NA
Abkhazia,1878,NA,NA,NA,NA,NA,NA
Abkhazia,1879,NA,NA,NA,NA,NA,NA
Abkhazia,1880,NA,NA,NA,NA,NA,NA
Abkhazia,1881,NA,NA,NA,NA,NA,NA
Abkhazia,1882,NA,NA,NA,NA,NA,NA
Abkhazia,1883,NA,NA,NA,NA,NA,NA
Abkhazia,1884,NA,NA,NA,NA,NA,NA
Abkhazia,1885,NA,NA,NA,NA,NA,NA
Abkhazia,1886,NA,NA,NA,NA,NA,NA
Abkhazia,1887,NA,NA,NA,NA,NA,NA
Abkhazia,1888,NA,NA,NA,NA,NA,NA
Abkhazia,1889,NA,NA,NA,NA,NA,NA
Abkhazia,1890,NA,NA,NA,NA,NA,NA
Abkhazia,1891,NA,NA,NA,NA,NA,NA
Abkhazia,1892,NA,NA,NA,NA,NA,NA
Abkhazia,1893,NA,NA,NA,NA,NA,NA
Abkhazia,1894,NA,NA,NA,NA,NA,NA
Abkhazia,1895,NA,NA,NA,NA,NA,NA
Abkhazia,1896,NA,NA,NA,NA,NA,NA
Abkhazia,1897,NA,NA,NA,NA,NA,NA
Abkhazia,1898,NA,NA,NA,NA,NA,NA
Abkhazia,1899,NA,NA,NA,NA,NA,NA
Abkhazia,1900,NA,NA,NA,NA,NA,NA
Abkhazia,1901,NA,NA,NA,NA,NA,NA
Abkhazia,1902,NA,NA,NA,NA,NA,NA
Abkhazia,1903,NA,NA,NA,NA,NA,NA
Abkhazia,1904,NA,NA,NA,NA,NA,NA
Abkhazia,1905,NA,NA,NA,NA,NA,NA
Abkhazia,1906,NA,NA,NA,NA,NA,NA
Abkhazia,1907,NA,NA,NA,NA,NA,NA
Abkhazia,1908,NA,NA,NA,NA,NA,NA
Abkhazia,1909,NA,NA,NA,NA,NA,NA
Abkhazia,1910,NA,NA,NA,NA,NA,NA
Abkhazia,1911,NA,NA,NA,NA,NA,NA
Abkhazia,1912,NA,NA,NA,NA,NA,NA
Abkhazia,1913,NA,NA,NA,NA,NA,NA
Abkhazia,1914,NA,NA,NA,NA,NA,NA
Abkhazia,1915,NA,NA,NA,NA,NA,NA
Abkhazia,1916,NA,NA,NA,NA,NA,NA
Abkhazia,1917,NA,NA,NA,NA,NA,NA
Abkhazia,1918,NA,NA,NA,NA,NA,NA
Abkhazia,1919,NA,NA,NA,NA,NA,NA
